time,datetime,idle_time,usr_time,interrupt_time,mem_total,mem_available,mem_percent,label
1.72986E+12,2:20:44 PM,1759347.063,220141.2031,7016.046875,16872415232,4772044800,71.7,anomaly
1.72986E+12,2:20:45 PM,1759352.109,220143.6094,7016.15625,16872415232,4736737280,71.9,anomaly
1.72986E+12,2:20:46 PM,1759356.609,220146.4063,7016.1875,16872415232,4712689664,72.1,anomaly
1.72986E+12,2:20:47 PM,1759361.531,220148.5938,7016.1875,16872415232,4614172672,72.7,anomaly
1.72986E+12,2:20:48 PM,1759367.719,220150.1875,7016.203125,16872415232,4563345408,73,anomaly
1.72986E+12,2:20:49 PM,1759374.125,220151.3281,7016.21875,16872415232,4633964544,72.5,anomaly
1.72986E+12,2:20:50 PM,1759380.828,220152.25,7016.25,16872415232,4637061120,72.5,anomaly
1.72986E+12,2:20:51 PM,1759386.953,220154.0781,7016.265625,16872415232,4624109568,72.6,anomaly
1.72986E+12,2:20:52 PM,1759393.141,220155.6875,7016.265625,16872415232,4664930304,72.4,anomaly
1.72986E+12,2:20:53 PM,1759399.828,220156.7969,7016.265625,16872415232,4667346944,72.3,anomaly
1.72986E+12,2:20:54 PM,1759406.969,220157.6406,7016.28125,16872415232,4692897792,72.2,anomaly
1.72986E+12,2:20:55 PM,1759414.281,220158.125,7016.296875,16872415232,4706267136,72.1,anomaly
1.72986E+12,2:20:56 PM,1759421.109,220159.1719,7016.328125,16872415232,4725981184,72,anomaly
1.72986E+12,2:20:57 PM,1759428.359,220159.625,7016.34375,16872415232,4736577536,71.9,anomaly
1.72986E+12,2:20:58 PM,1759435.422,220160.5781,7016.34375,16872415232,4727193600,72,anomaly
1.72986E+12,2:20:59 PM,1759442.828,220161.0469,7016.34375,16872415232,4733501440,71.9,anomaly
1.72986E+12,2:21:00 PM,1759450,220161.8281,7016.375,16872415232,4738375680,71.9,anomaly
1.72986E+12,2:21:01 PM,1759457.281,220162.375,7016.421875,16872415232,4742340608,71.9,anomaly
1.72986E+12,2:21:02 PM,1759463.25,220164.0938,7016.4375,16872415232,4704567296,72.1,anomaly
1.72986E+12,2:21:03 PM,1759470.578,220164.6563,7016.4375,16872415232,4707262464,72.1,anomaly
1.72986E+12,2:21:04 PM,1759476.688,220166.2969,7016.484375,16872415232,4693233664,72.2,anomaly
1.72986E+12,2:21:05 PM,1759482.656,220168.0625,7016.546875,16872415232,4696784896,72.2,anomaly
1.72986E+12,2:21:06 PM,1759489.531,220169.0469,7016.5625,16872415232,4708806656,72.1,anomaly
1.72986E+12,2:21:07 PM,1759496.484,220169.9063,7016.578125,16872415232,4700086272,72.1,anomaly
1.72986E+12,2:21:08 PM,1759503.641,220170.625,7016.578125,16872415232,4702670848,72.1,anomaly
1.72986E+12,2:21:09 PM,1759511.266,220171.0313,7016.59375,16872415232,4709711872,72.1,anomaly
1.72986E+12,2:21:10 PM,1759518.219,220171.8125,7016.609375,16872415232,4752343040,71.8,anomaly
1.72986E+12,2:21:11 PM,1759525.078,220172.6875,7016.671875,16872415232,4743507968,71.9,anomaly
1.72986E+12,2:21:12 PM,1759529.688,220175.7031,7016.671875,16872415232,4732604416,72,anomaly
1.72986E+12,2:21:13 PM,1759537.547,220175.8906,7016.671875,16872415232,4725432320,72,anomaly
1.72986E+12,2:21:14 PM,1759545.063,220176.3438,7016.671875,16872415232,4730728448,72,anomaly
1.72986E+12,2:21:15 PM,1759552.297,220176.8281,7016.703125,16872415232,4760195072,71.8,anomaly
1.72986E+12,2:21:16 PM,1759560.031,220177.0938,7016.703125,16872415232,4754227200,71.8,anomaly
1.72986E+12,2:21:17 PM,1759566.594,220178.2656,7016.703125,16872415232,4746969088,71.9,anomaly
1.72986E+12,2:21:18 PM,1759573.625,220179.2031,7016.71875,16872415232,4749787136,71.8,anomaly
1.72986E+12,2:21:19 PM,1759581.172,220179.5781,7016.765625,16872415232,4768247808,71.7,anomaly
1.72986E+12,2:21:20 PM,1759588.313,220180.25,7016.78125,16872415232,4744593408,71.9,anomaly
1.72986E+12,2:21:21 PM,1759595.641,220180.5,7016.796875,16872415232,4788887552,71.6,anomaly
1.72986E+12,2:21:22 PM,1759603.172,220180.7344,7016.859375,16872415232,4777992192,71.7,anomaly
